code,scheme_name,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,for_primary_codes,for_primary_names,for_all_codes,for_all_names,fellowship_holders,fellowship_holders_orcids
DE150101390,Discovery Early Career Researcher Award,2015,Closed,363536,376065.0,University of Tasmania,2201,Applied Ethics,2201; 220101; 220103; 220106,"Applied Ethics; Bioethics (Human and Animal); Ethical Use of New Technology (E.G. Nanotechnology, Biotechnology); Medical Ethics",A/Prof Frederic Gilbert,0000-0003-0524-8649
DE150101574,Discovery Early Career Researcher Award,2015,Closed,368583,407547.0,The University of Adelaide,0603,Evolutionary Biology,060206; 0603; 060303; 060504,Palaeoecology; Evolutionary Biology; Biological Adaptation; Microbial Ecology,Dr Laura Weyrich,
DE150101704,Discovery Early Career Researcher Award,2015,Closed,340000,351606.0,The University of Sydney,1005,Communications Technologies,1005; 100510,Communications Technologies; Wireless Communications,Dr Wibowo Hardjawana,
DE150101477,Discovery Early Career Researcher Award,2015,Closed,360000,296186.0,The University of Newcastle,0402,Geochemistry,0402; 040202; 040204,Geochemistry; Inorganic Geochemistry; Organic Geochemistry,Dr Zhaohui Wang,
DE150101478,Discovery Early Career Researcher Award,2015,Closed,366000,378742.0,The University of New South Wales,1701,Psychology,1701; 170101; 170106,"Psychology; Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology); Health, Clinical and Counselling Psychology",A/Prof Nathan Holmes,0000-0002-0592-2026
DE150101510,Discovery Early Career Researcher Award,2015,Closed,329292,0.0,The University of Sydney,0201,Astronomical and Space Sciences,0201; 020103,Astronomical and Space Sciences; Cosmology and Extragalactic Astronomy,Dr Maritza Lara-Lopez,
DE150101481,Discovery Early Career Researcher Award,2015,Closed,373000,0.0,The University of Queensland,0304,Medicinal and Biomolecular Chemistry,0304; 030401; 030406; 060409,Medicinal and Biomolecular Chemistry; Biologically Active Molecules; Proteins and Peptides; Molecular Evolution,Dr Kartik Sunagar,0000-0003-0998-1581
DE150101484,Discovery Early Career Researcher Award,2015,Closed,365000,377638.0,The University of Western Australia,0607,Plant Biology,0607; 060702,Plant Biology; Plant Cell and Molecular Biology,Dr Bernard Gutmann,0000-0003-4657-0925
DE150101512,Discovery Early Career Researcher Award,2015,Closed,360000,372465.0,The University of Queensland,0905,Civil Engineering,0905; 090503; 090506,Civil Engineering; Construction Materials; Structural Engineering,A/Prof Nangallage Fernando,
DE150101506,Discovery Early Career Researcher Award,2015,Closed,327612,338918.0,The University of Adelaide,1601,Anthropology,1601; 160104,Anthropology; Social and Cultural Anthropology,Dr Tanya Zivkovic,
DE150101521,Discovery Early Career Researcher Award,2015,Closed,349699,361780.0,The University of Western Australia,0602,Ecology,0602; 060201; 060308; 060399,Ecology; Behavioural Ecology; Life Histories; Evolutionary Biology Not Elsewhere Classified,Dr Bruno Alves Buzatto,0000-0002-2711-0336
DE150101351,Discovery Early Career Researcher Award,2015,Closed,315000,325908.0,The University of New South Wales,0801,Artificial Intelligence and Image Processing,0801; 080101; 080199; 080201,Artificial Intelligence and Image Processing; Adaptive Agents and Intelligent Robotics; Artificial Intelligence and Image Processing Not Elsewhere Classified; Analysis of Algorithms and Complexity,Dr Abdallah Saffidine,
DE150101548,Discovery Early Career Researcher Award,2015,Closed,345000,356452.0,The University of Queensland,0101,Pure Mathematics,0101; 010102; 010110,Pure Mathematics; Algebraic and Differential Geometry; Partial Differential Equations,Prof Artem Pulemotov,0000-0003-0647-8630
DE150101301,Discovery Early Career Researcher Award,2015,Closed,360000,4966.0,The University of Melbourne,1702,Cognitive Sciences,170112; 170202; 1702,"Sensory Processes, Perception and Performance; Decision Making; Cognitive Sciences",Dr Jennifer Trueblood,
DE150101540,Discovery Early Career Researcher Award,2015,Closed,331000,342398.0,The University of Sydney,1606,Political Science,1606; 160603; 160607,Political Science; Comparative Government and Politics; International Relations,Dr Ryan Griffiths,
DE150101393,Discovery Early Career Researcher Award,2015,Closed,360000,372465.0,The University of New South Wales,0604,Genetics,050103; 060303; 0604; 060411,"Invasive Species Ecology; Biological Adaptation; Genetics; Population, Ecological and Evolutionary Genetics",Prof Lee Rollins,0000-0002-3279-7005
DE150101243,Discovery Early Career Researcher Award,2015,Closed,371000,383748.0,La Trobe University,0601,Biochemistry and Cell Biology,0601; 060101; 060109; 060112,Biochemistry and Cell Biology; Analytical Biochemistry; Proteomics and Intermolecular Interactions (Excl. Medical Proteomics); Structural Biology (Incl. MacRomolecular Modelling),Dr Mihwa Lee,0000-0003-3006-2483
DE150101212,Discovery Early Career Researcher Award,2015,Closed,360000,372465.0,The University of Queensland,1007,Nanotechnology,020406; 1007; 100708,Surfaces and Structural Properties of Condensed Matter; Nanotechnology; Nanomaterials,Dr Lihua Wang,
DE150101415,Discovery Early Career Researcher Award,2015,Closed,360000,372465.0,The University of Melbourne,0101,Pure Mathematics,0101; 010101; 010103; 010104,"Pure Mathematics; Algebra and Number Theory; Category Theory, K Theory, Homological Algebra; Combinatorics and Discrete Mathematics (Excl. Physical Combinatorics)",Dr Peter McNamara,
DE150101297,Discovery Early Career Researcher Award,2015,Closed,320094,357999.0,Monash University,0401,Atmospheric Sciences,0401; 040102; 040105; 040607,Atmospheric Sciences; Atmospheric Dynamics; Climatology (Excl. Climate Change Processes); Surface Processes,A/Prof Ailie Gallant,0000-0002-7917-1069
DE150101266,Discovery Early Career Researcher Award,2015,Closed,358536,370951.0,James Cook University,0603,Evolutionary Biology,060203; 0603; 060303; 060306,Ecological Physiology; Evolutionary Biology; Biological Adaptation; Evolutionary Impacts of Climate Change,Prof Jodie Rummer,0000-0001-6067-5892
DE150101323,Discovery Early Career Researcher Award,2015,Closed,328000,0.0,Monash University,0201,Astronomical and Space Sciences,0201; 020104; 020110,Astronomical and Space Sciences; Galactic Astronomy; Stellar Astronomy and Planetary Systems,A/Prof Valentina D'Orazi,0000-0002-2662-3762
DE150101347,Discovery Early Career Researcher Award,2015,Closed,375000,387985.0,The University of Queensland,0915,Interdisciplinary Engineering,040105; 090506; 0915; 091507,Climatology (Excl. Climate Change Processes); Structural Engineering; Interdisciplinary Engineering; Risk Engineering (Excl. Earthquake Engineering),A/Prof Matthew Mason,0000-0003-4622-693X
DE150101275,Discovery Early Career Researcher Award,2015,Closed,321380,328248.0,The University of Sydney,2005,Literary Studies,2005; 200503; 200511,Literary Studies; British and Irish Literature; Literature In French,Dr Anthony Cordingley,
DE150101365,Discovery Early Career Researcher Award,2015,Closed,360000,117454.0,The Australian National University,0801,Artificial Intelligence and Image Processing,0801; 080104; 090602,"Artificial Intelligence and Image Processing; Computer Vision; Control Systems, Robotics and Automation",Dr Laurent Kneip,
DE150101137,Discovery Early Career Researcher Award,2015,Closed,312000,322804.0,Queensland University of Technology,0103,Numerical and Computational Mathematics,0103; 010301; 080204; 080205,Numerical and Computational Mathematics; Numerical Analysis; Mathematical Software; Numerical Computation,Dr Elliot Carr,
DE150101234,Discovery Early Career Researcher Award,2015,Closed,360000,372465.0,The University of Adelaide,0912,Materials Engineering,0912; 091202; 100706,"Materials Engineering; Composite and Hybrid Materials; Nanofabrication, Growth and Self Assembly",Dr Lei Zhang,
DE150101262,Discovery Early Career Researcher Award,2015,Closed,359753,353712.0,The University of Newcastle,1117,Public Health and Health Services,1117; 111702; 111708; 170113,Public Health and Health Services; Aged Health Care; Health and Community Services; Social and Community Psychology,Dr Amy Waller,0000-0002-0987-9424
DE150101206,Discovery Early Career Researcher Award,2015,Closed,372536,359447.0,The Australian National University,0604,Genetics,0604; 060404; 060408; 060411,"Genetics; Epigenetics (Incl. Genome Methylation and Epigenomics); Genomics; Population, Ecological and Evolutionary Genetics",Dr Steven Eichten,0000-0003-2268-395X
DE150101108,Discovery Early Career Researcher Award,2015,Closed,352000,364109.0,Monash University,1701,Psychology,1701; 170101; 170112,"Psychology; Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology); Sensory Processes, Perception and Performance",Dr Nicole Thomas,0000-0002-1112-9024
DE150101053,Discovery Early Career Researcher Award,2015,Closed,364536,377110.0,Western Sydney University,1702,Cognitive Sciences,170112; 170204; 200404; 1702,"Sensory Processes, Perception and Performance; Linguistic Processes (Incl. Speech Production and Comprehension); Laboratory Phonetics and Speech Science; Cognitive Sciences",A/Prof Mark Antoniou,0000-0001-7735-573X
DE150101306,Discovery Early Career Researcher Award,2015,Closed,365000,377555.0,The University of Newcastle,0306,Physical Chemistry (Incl. Structural),0306; 030604; 091205,Physical Chemistry (Incl. Structural); Electrochemistry; Functional Materials,Prof Tianyi Ma,0000-0002-1042-8700
DE150100969,Discovery Early Career Researcher Award,2015,Closed,340669,359485.0,Deakin University,2103,Historical Studies,160604; 2103; 210307,"Defence Studies; Historical Studies; European History (Excl. British, Classical Greek and Roman)",Dr Filip Slaveski,
DE150101259,Discovery Early Career Researcher Award,2015,Closed,371000,383831.0,The University of Melbourne,0604,Genetics,0604; 060409; 060411; 060506,"Genetics; Molecular Evolution; Population, Ecological and Evolutionary Genetics; Virology",Dr Cadhla Firth,
DE150101092,Discovery Early Career Researcher Award,2015,Closed,321000,332116.0,University of Technology Sydney,0805,Distributed Computing,0805; 080502; 080503; 100502,Distributed Computing; Mobile Technologies; Networking and Communications; Broadband and Modem Technology,A/Prof Diep Nguyen,0000-0003-2659-8648
DE150101117,Discovery Early Career Researcher Award,2015,Closed,327000,338323.0,The University of Queensland,0604,Genetics,060102; 0604; 060408; 060409,Bioinformatics; Genetics; Genomics; Molecular Evolution,A/Prof Adam Ewing,0000-0002-4544-994X
DE150100924,Discovery Early Career Researcher Award,2015,Closed,375000,387692.0,RMIT University,1005,Communications Technologies,090601; 1005; 100504; 100507,Circuits and Systems; Communications Technologies; Data Communications; Optical Networks and Systems,A/Prof Ke Wang,0000-0001-5788-1396
DE150101145,Discovery Early Career Researcher Award,2015,Closed,338895,77896.0,Monash University,0201,Astronomical and Space Sciences,0201; 020105; 020110,Astronomical and Space Sciences; General Relativity and Gravitational Waves; Stellar Astronomy and Planetary Systems,A/Prof Bernhard Müller,
DE150101161,Discovery Early Career Researcher Award,2015,Closed,330000,341427.0,The University of Sydney,0101,Pure Mathematics,0101; 010101; 010103; 010105,"Pure Mathematics; Algebra and Number Theory; Category Theory, K Theory, Homological Algebra; Group Theory and Generalisations",A/Prof Oded Yacobi,0000-0002-4739-0689
DE150101044,Discovery Early Career Researcher Award,2015,Closed,315000,325908.0,The University of Melbourne,0104,Statistics,010202; 0104; 010406,Biological Mathematics; Statistics; Stochastic Analysis and Modelling,A/Prof Sophie Hautphenne,0000-0002-8361-1901
DE150101032,Discovery Early Career Researcher Award,2015,Closed,378000,391168.0,The University of Sydney,1402,Applied Economics,1402; 140206,Applied Economics; Experimental Economics,Prof Agnieszka Tymula,0000-0002-0521-8477
DE150101110,Discovery Early Career Researcher Award,2015,Closed,345928,357638.0,Macquarie University,2103,Historical Studies,200510; 2103; 210306,Latin and Classical Greek Literature; Historical Studies; Classical Greek and Roman History,Prof Caillan Davenport,0000-0002-2294-6855
DE150100870,Discovery Early Career Researcher Award,2015,Closed,342000,353794.0,The University of Melbourne,0503,Soil Sciences,050101; 0503; 050303; 060504,Ecological Impacts of Climate Change; Soil Sciences; Soil Biology; Microbial Ecology,A/Prof Hangwei Hu,0000-0002-3294-102X
DE150100937,Discovery Early Career Researcher Award,2015,Closed,373484,386417.0,University of Tasmania,0404,Geophysics,0404; 040403; 040503,Geophysics; Geophysical Fluid Dynamics; Physical Oceanography,A/Prof Maxim Nikurashin,0000-0002-5714-8343
DE150100926,Discovery Early Career Researcher Award,2015,Closed,336027,92198.0,University of South Australia,1302,Curriculum and Pedagogy,1302; 130202; 130205,"Curriculum and Pedagogy; Curriculum and Pedagogy Theory and Development; Humanities and Social Sciences Curriculum and Pedagogy (Excl. Economics, Business and Management)",Prof Andrew Peterson,0000-0003-1471-105X
DE150100909,Discovery Early Career Researcher Award,2015,Closed,360000,372465.0,The University of Melbourne,0906,Electrical and Electronic Engineering,0906; 090604; 091205,Electrical and Electronic Engineering; Microelectronics and Integrated Circuits; Functional Materials,Dr Sivacarendran Balendhran,
DE150100884,Discovery Early Career Researcher Award,2015,Closed,366000,138774.0,The Australian National University,1007,Nanotechnology,020502; 100501; 1007; 100711,Lasers and Quantum Electronics; Antennas and Propagation; Nanotechnology; Nanophotonics,Dr Manuel Decker,
DE150100901,Discovery Early Career Researcher Award,2015,Closed,366000,378644.0,The University of Melbourne,0302,Inorganic Chemistry,0302; 030207; 030601; 030606,Inorganic Chemistry; Transition Metal Chemistry; Catalysis and Mechanisms of Reactions; Structural Chemistry and Spectroscopy,Dr Lei Zhang,
DE150100895,Discovery Early Career Researcher Award,2015,Closed,369000,379953.0,The University of New South Wales,1502,"Banking, Finance and Investment",1502; 150201,"Banking, Finance and Investment; Finance",A/Prof Mark Humphery-Jenner,
DE150100862,Discovery Early Career Researcher Award,2015,Closed,338110,349455.0,The University of New South Wales,0403,Geology,0403; 040308; 060303,Geology; Palaeontology (Incl. Palynology); Biological Adaptation,A/Prof Laura Wilson,0000-0002-3779-8277
DE150100838,Discovery Early Career Researcher Award,2015,Closed,320890,331977.0,The University of Melbourne,2103,Historical Studies,2103; 210307,"Historical Studies; European History (Excl. British, Classical Greek and Roman)",A/Prof Julie Fedor,0000-0002-3196-1854
DE150100857,Discovery Early Career Researcher Award,2015,Closed,369354,377286.0,The Australian National University,1699,Other Studies In Human Society,1699; 169903; 169905; 180119,Other Studies In Human Society; Studies of Asian Society; Studies of Pacific Peoples' Societies; Law and Society,A/Prof Lia Kent,0000-0001-9516-4080
DE150100820,Discovery Early Career Researcher Award,2015,Closed,390000,397571.0,Griffith University,0904,Chemical Engineering,050301; 0904; 090401,Carbon Sequestration Science; Chemical Engineering; Carbon Capture Engineering (Excl. Sequestration),Dr Ziyang Huo,
DE150100795,Discovery Early Career Researcher Award,2015,Closed,365000,359699.0,University of Technology Sydney,1403,Econometrics,1403; 140302; 140305,Econometrics; Econometric and Statistical Methods; Time-Series Analysis,Prof Joshua Chan,
DE150100791,Discovery Early Career Researcher Award,2015,Closed,373536,390170.0,The University of New South Wales,0205,Optical Physics,020401; 0205; 020504,"Condensed Matter Characterisation Technique Development; Optical Physics; Photonics, Optoelectronics and Optical Communications",Dr Chunming Yin,0000-0003-0117-8225
DE150100861,Discovery Early Career Researcher Award,2015,Closed,348710,386760.0,Western Sydney University,1604,Human Geography,1604; 160403; 160404,Human Geography; Social and Cultural Geography; Urban and Regional Studies (Excl. Planning),A/Prof Emma Power,0000-0001-5204-322X
DE150100825,Discovery Early Career Researcher Award,2015,Closed,360000,0.0,La Trobe University,0607,Plant Biology,060108; 0607; 060702; 060705,Protein Trafficking; Plant Biology; Plant Cell and Molecular Biology; Plant Physiology,Dr Christopher Carrie,0000-0002-4240-4674
DE150100770,Discovery Early Career Researcher Award,2015,Closed,358536,370951.0,Monash University,0402,Geochemistry,0402; 040202; 040306; 040607,Geochemistry; Inorganic Geochemistry; Mineralogy and Crystallography; Surface Processes,Prof Sasha Wilson,0000-0002-0858-6902
DE150101230,Discovery Early Career Researcher Award,2015,Closed,356968,369341.0,The University of Melbourne,1604,Human Geography,1604; 160401; 160499,Human Geography; Economic Geography; Human Geography Not Elsewhere Classified,Dr Adam Bumpus,
DE150100837,Discovery Early Career Researcher Award,2015,Closed,354000,365569.0,The University of Adelaide,0607,Plant Biology,0607; 060702,Plant Biology; Plant Cell and Molecular Biology,Prof Caitlin Byrt,0000-0001-8549-2873
DE150100784,Discovery Early Career Researcher Award,2015,Closed,373254,386179.0,The University of Queensland,0601,Biochemistry and Cell Biology,030406; 030502; 0601; 060110,Proteins and Peptides; Natural Products Chemistry; Biochemistry and Cell Biology; Receptors and Membrane Biology,Prof Markus Muttenthaler,0000-0003-1996-4646
DE150101116,Discovery Early Career Researcher Award,2015,Closed,315000,325908.0,University of Wollongong,0803,Computer Software,0803; 080303; 080499,Computer Software; Computer System Security; Data Format Not Elsewhere Classified,A/Prof Guomin Yang,0000-0002-4949-7738
DE150101203,Discovery Early Career Researcher Award,2015,Closed,323189,332584.0,Deakin University,2101,Archaeology,2101; 210108; 210202; 210303,Archaeology; Historical Archaeology (Incl. Industrial Archaeology); Heritage and Cultural Conservation; Australian History (Excl. Aboriginal and Torres Strait Islander History),Dr Sarah Hayes,0000-0002-2144-3754
DE150101104,Discovery Early Career Researcher Award,2015,Closed,330000,326943.0,Queensland University of Technology,0905,Civil Engineering,0905; 090506,Civil Engineering; Structural Engineering,A/Prof Keerthan Poologanathan,
DE150101187,Discovery Early Career Researcher Award,2015,Closed,353000,391682.0,The Australian National University,1699,Other Studies In Human Society,1699; 169903; 180106; 180119,Other Studies In Human Society; Studies of Asian Society; Comparative Law; Law and Society,Dr Elisa Nesossi,0000-0002-5438-6856
DE150101190,Discovery Early Career Researcher Award,2015,Closed,350259,388639.0,University of Tasmania,0403,Geology,0403; 040314,Geology; Volcanology,A/Prof Rebecca Carey,0000-0003-2015-6419
DE150101196,Discovery Early Career Researcher Award,2015,Closed,403536,170051.0,The Australian National University,0304,Medicinal and Biomolecular Chemistry,0304; 030403; 030406; 060109,Medicinal and Biomolecular Chemistry; Characterisation of Biological MacRomolecules; Proteins and Peptides; Proteomics and Intermolecular Interactions (Excl. Medical Proteomics),Dr Sean Hudson,
DE150101150,Discovery Early Career Researcher Award,2015,Closed,362000,373584.0,The University of Queensland,0603,Evolutionary Biology,0603; 060305; 060409; 060808,Evolutionary Biology; Evolution of Developmental Systems; Molecular Evolution; Invertebrate Biology,Dr Claire Larroux,0000-0002-3503-4150
DE150101180,Discovery Early Career Researcher Award,2015,Closed,362000,332451.0,Deakin University,2201,Applied Ethics,170102; 2201; 220101,Developmental Psychology and Ageing; Applied Ethics; Bioethics (Human and Animal),Dr Cynthia Forlini,
DE150100756,Discovery Early Career Researcher Award,2015,Closed,371034,383464.0,Flinders University,2101,Archaeology,190102; 2101; 210103; 210202,"Art History; Archaeology; Archaeology of Asia, Africa and the Americas; Heritage and Cultural Conservation",A/Prof Martin Polkinghorne,0000-0002-6108-002X
DE150100708,Discovery Early Career Researcher Award,2015,Closed,352000,363922.0,The University of Melbourne,1403,Econometrics,140207; 140212; 1403; 140303,Financial Economics; Macroeconomics (Incl. Monetary and Fiscal Theory); Econometrics; Economic Models and Forecasting,A/Prof Matthew Greenwood-Nimmo,0000-0003-0497-3048
DE150100636,Discovery Early Career Researcher Award,2015,Closed,375000,239391.0,University of Technology Sydney,0804,Data Format,0804; 080401; 100510,Data Format; Coding and Information Theory; Wireless Communications,Dr Tao Yang,0000-0002-9870-6866
DE150100667,Discovery Early Career Researcher Award,2015,Closed,328000,339042.0,Flinders University,1701,Psychology,1701; 170101; 170202,"Psychology; Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology); Decision Making",Dr Oren Griffiths,0000-0002-9833-9998
DE150100748,Discovery Early Career Researcher Award,2015,Closed,336009,347436.0,Western Sydney University,2002,Cultural Studies,2002; 200206; 200208,Cultural Studies; Globalisation and Culture; Migrant Cultural Studies,A/Prof Shanthi Robertson,0000-0001-6644-2379
DE150100731,Discovery Early Career Researcher Award,2015,Closed,361744,374257.0,Murdoch University,1301,Education Systems,1301; 130102; 130309,Education Systems; Early Childhood Education (Excl. Maori); Learning Sciences,Prof Deborah Pino-Pasternak,0000-0002-1030-7458
DE150100750,Discovery Early Career Researcher Award,2015,Closed,315000,125181.0,The University of New South Wales,0912,Materials Engineering,0912; 091201; 091205,Materials Engineering; Ceramics; Functional Materials,Dr Jan Hinterstein,
DE150100985,Discovery Early Career Researcher Award,2015,Closed,390000,403505.0,The University of Melbourne,0915,Interdisciplinary Engineering,0915; 091508,Interdisciplinary Engineering; Turbulent Flows,A/Prof Jimmy Philip,
DE150100752,Discovery Early Career Researcher Award,2015,Closed,360000,376228.0,The Australian National University,1007,Nanotechnology,091205; 1007; 100706,"Functional Materials; Nanotechnology; Nanofabrication, Growth and Self Assembly",Prof Siva Karuturi,0000-0003-2119-0256
DE150100652,Discovery Early Career Researcher Award,2015,Closed,345000,356947.0,The University of Melbourne,0604,Genetics,0604; 060403; 060405,Genetics; Developmental Genetics (Incl. Sex Determination); Gene Expression (Incl. Microarray and Other Genome-Wide Approaches),Dr Alexander Combes,0000-0001-6008-8786
DE150100576,Discovery Early Career Researcher Award,2015,Closed,346000,308639.0,The University of Queensland,1606,Political Science,1606; 160607,Political Science; International Relations,Dr Jeni Whalan,
DE150100809,Discovery Early Career Researcher Award,2015,Closed,326000,363368.0,The University of Melbourne,1402,Applied Economics,1402; 140202; 140203,Applied Economics; Economic Development and Growth; Economic History,Dr Laura Panza,0000-0003-1454-4669
DE150100542,Discovery Early Career Researcher Award,2015,Closed,355000,367212.0,The University of Adelaide,0604,Genetics,050202; 060303; 0604; 060411,"Conservation and Biodiversity; Biological Adaptation; Genetics; Population, Ecological and Evolutionary Genetics",A/Prof Martin Breed,0000-0001-7810-9696
DE150100666,Discovery Early Career Researcher Award,2015,Closed,373536,0.0,The University of Melbourne,0202,"Atomic, Molecular, Nuclear, Particle and Plasma Physics",0202; 020201; 020502; 090606,"Atomic, Molecular, Nuclear, Particle and Plasma Physics; Atomic and Molecular Physics; Lasers and Quantum Electronics; Photonics and Electro-Optical Engineering (Excl. Communications)",Dr Robert Sewell,
DE150101024,Discovery Early Career Researcher Award,2015,Closed,373000,385867.0,The University of Queensland,2004,Linguistics,2004; 200406; 200408,"Linguistics; Language In Time and Space (Incl. Historical Linguistics, Dialectology); Linguistic Structures (Incl. Grammar, Phonology, Lexicon, Semantics)",Dr Erich Round,
DE150100363,Discovery Early Career Researcher Award,2015,Closed,330000,189968.0,The Australian National University,0906,Electrical and Electronic Engineering,0906; 090609,Electrical and Electronic Engineering; Signal Processing,Dr Wen Zhang,
DE150100720,Discovery Early Career Researcher Award,2015,Closed,375000,323076.0,University of Technology Sydney,0802,Computation Theory and Mathematics,0802; 080201; 080202; 080303,Computation Theory and Mathematics; Analysis of Algorithms and Complexity; Applied Discrete Mathematics; Computer System Security,A/Prof Youming Qiao,0000-0003-4334-1449
DE150100738,Discovery Early Career Researcher Award,2015,Closed,368000,380809.0,The University of New South Wales,0912,Materials Engineering,0912; 091207,Materials Engineering; Metals and Alloy Materials,Dr Chunguang Tang,0000-0002-1048-9087
DE150100456,Discovery Early Career Researcher Award,2015,Closed,367536,384012.0,The University of New South Wales,0401,Atmospheric Sciences,0401; 040104; 040105; 040107,Atmospheric Sciences; Climate Change Processes; Climatology (Excl. Climate Change Processes); Meteorology,Dr Markus Donat,0000-0002-0608-7288
DE150100670,Discovery Early Career Researcher Award,2015,Closed,372095,384982.0,The University of New South Wales,2001,Communication and Media Studies,2001; 200102; 200205,"Communication and Media Studies; Communication Technology and Digital Media Studies; Culture, Gender, Sexuality",Dr Emma Jane,
DE150100425,Discovery Early Career Researcher Award,2015,Closed,372260,380650.0,The University of Queensland,1801,Law,1801; 180105; 180106,Law; Commercial and Contract Law; Comparative Law,Prof Qiao Liu,0000-0003-4636-9439
DE150101005,Discovery Early Career Researcher Award,2015,Closed,378288,0.0,The University of Western Australia,0205,Optical Physics,0205; 020504; 090303,"Optical Physics; Photonics, Optoelectronics and Optical Communications; Biomedical Instrumentation",Asst Prof Dirk Lorenser,
DE150100563,Discovery Early Career Researcher Award,2015,Closed,372000,357682.0,The University of Sydney,0806,Information Systems,080109; 0806; 080604,Pattern Recognition and Data Mining; Information Systems; Database Management,A/Prof Lijun Chang,0000-0002-6830-3900
DE150100443,Discovery Early Career Researcher Award,2015,Closed,378000,391205.0,The University of Melbourne,1605,Policy and Administration,160303; 1605; 160512; 169901,Migration; Policy and Administration; Social Policy; Gender Specific Studies,Prof Bina Fernandez,0000-0002-1611-7217
DE150100637,Discovery Early Career Researcher Award,2015,Closed,322534,333673.0,The Australian National University,1117,Public Health and Health Services,1117; 111708; 111714; 160508,Public Health and Health Services; Health and Community Services; Mental Health; Health Policy,Prof Michelle Banfield,0000-0002-3024-1687
DE150100676,Discovery Early Career Researcher Award,2015,Closed,352350,0.0,The University of Sydney,2204,Religion and Religious Studies,200516; 220406; 2204,Indonesian Literature; Studies In Eastern Religious Traditions; Religion and Religious Studies,Dr Andrea Acri,
DE150100618,Discovery Early Career Researcher Award,2015,Closed,354000,364759.0,The University of Western Australia,0201,Astronomical and Space Sciences,0201; 020103,Astronomical and Space Sciences; Cosmology and Extragalactic Astronomy,A/Prof Claudia Lagos,0000-0003-3021-8564
DE150100510,Discovery Early Career Researcher Award,2015,Closed,372000,384881.0,Macquarie University,0403,Geology,0403; 040304,Geology; Igneous and Metamorphic Petrology,Dr Andrea Giuliani,
DE150100428,Discovery Early Career Researcher Award,2015,Closed,360000,372465.0,The University of Western Australia,0905,Civil Engineering,020399; 0905; 090599,Classical Physics Not Elsewhere Classified; Civil Engineering; Civil Engineering Not Elsewhere Classified,Dr Hongwei An,
DE150100321,Discovery Early Career Researcher Award,2015,Closed,335000,350357.0,Murdoch University,0602,Ecology,0602; 060203; 060204; 069902,Ecology; Ecological Physiology; Freshwater Ecology; Global Change Biology,Dr Adrian Gleiss,
DE150100581,Discovery Early Career Researcher Award,2015,Closed,360000,372138.0,Southern Cross University,0402,Geochemistry,0402; 040203; 040204,Geochemistry; Isotope Geochemistry; Organic Geochemistry,Prof Damien Maher,0000-0003-1899-005X
DE150100492,Discovery Early Career Researcher Award,2015,Closed,372336,0.0,The University of Queensland,2101,Archaeology,2101; 210102; 210103,"Archaeology; Archaeological Science; Archaeology of Asia, Africa and the Americas",Dr Jessica Thompson,
DE150100336,Discovery Early Career Researcher Award,2015,Closed,369453,382089.0,University of Tasmania,0602,Ecology,0602; 060201; 060304,Ecology; Behavioural Ecology; Ethology and Sociobiology,A/Prof Geoffrey While,0000-0001-8122-9322
DE150100373,Discovery Early Career Researcher Award,2015,Closed,375000,71068.0,The University of Melbourne,1005,Communications Technologies,020504; 090609; 1005; 100506,"Photonics, Optoelectronics and Optical Communications; Signal Processing; Communications Technologies; Optical Fibre Communications",Dr Xi Chen,
DE150100280,Discovery Early Career Researcher Award,2015,Closed,373536,386470.0,Queensland University of Technology,0303,Macromolecular and Materials Chemistry,0303; 030306; 030603; 091205,Macromolecular and Materials Chemistry; Synthesis of Materials; Colloid and Surface Chemistry; Functional Materials,Prof Ziqi Sun,0000-0002-4777-4017
DE150100315,Discovery Early Career Researcher Award,2015,Closed,372000,384881.0,The Australian National University,0206,Quantum Physics,0206; 020601,Quantum Physics; Degenerate Quantum Gases and Atom Optics,Dr Sean Hodgman,
DE150100396,Discovery Early Career Researcher Award,2015,Closed,342000,380185.0,Macquarie University,1701,Psychology,1701; 170102; 170199; 170299,Psychology; Developmental Psychology and Ageing; Psychology Not Elsewhere Classified; Cognitive Sciences Not Elsewhere Classified,A/Prof Celia Harris,0000-0001-5261-4205
DE150100301,Discovery Early Career Researcher Award,2015,Closed,335000,346188.0,La Trobe University,0306,Physical Chemistry (Incl. Structural),020108; 0306; 030606; 040101,Planetary Science (Excl. Extraterrestrial Geology); Physical Chemistry (Incl. Structural); Structural Chemistry and Spectroscopy; Atmospheric Aerosols,Dr Courtney Ennis,
DE150100517,Discovery Early Career Researcher Award,2015,Closed,360000,372465.0,The University of New South Wales,0305,Organic Chemistry,0305; 030503,Organic Chemistry; Organic Chemical Synthesis,A/Prof Thanh Vinh Nguyen,0000-0002-0757-9970
DE150100397,Discovery Early Career Researcher Award,2015,Closed,340000,351857.0,The University of Queensland,0913,Mechanical Engineering,0913; 091305; 091501; 091502,"Mechanical Engineering; Energy Generation, Conversion and Storage Engineering; Computational Fluid Dynamics; Computational Heat Transfer",Prof Dr Kamel Hooman,0000-0003-0282-7960
